"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"121",1119,"4th Quarter",171,312,37,18,"Shot","Miss","",NA,"mars",6.08276253029822,1.40564764938027,80.5376777919744,1,0,0,10,10,17.8885438199983
"122",1183,"4th Quarter",178,460,42,27,"Shot","Miss","",NA,"mars",14.8660687473185,0.832981266674432,47.7263109939063,20,0,0,5,5,214.234028802999
"123",1246,"4th Quarter",184,626,36,18,"Shot","Miss","",NA,"mars",5.09901951359278,1.37340076694502,78.6900675259798,9,0,0,10,10,142.477101372478
"124",1249,"4th Quarter",186,663,32,21,"Shot","Score","Foul",NA,"mars",4.12310562561766,0.244978663126864,14.0362434679265,1,2,1,10,10.2,14.2126704035519
"125",1271,"4th Quarter",188,747,14,29,"Shot","Miss","",NA,"mars",20.8086520466848,-0.956133374872731,-54.7824070318073,16,0,0,6,6,186.521520922798
"126",1288,"4th Quarter",191,807,41,35,"Shot","Miss","",NA,"mars",20.591260281974,0.507098504392337,29.0546040990771,9,0,0,11,11,92.6606331456162
"127",1309,"4th Quarter",194,864,48,20,"Shot","Miss","",NA,"mars",17.2626765016321,1.39612412778666,79.9920201985587,18,0,0,3,3,155.266931760971
"128",1311,"4th Quarter",195,870,19,34,"Shot","Miss","",NA,"mars",20.8086520466848,-0.614662951922166,-35.2175929681927,3,0,0,6,6,7.07106781186548
"129",1325,"4th Quarter",197,908,27,38,"Shot","Score","",NA,"mars",21.3775583264319,-0.188221505304771,-10.7842978675626,13,2,1,11,11.2,136.136419078399
"130",1333,"4th Quarter",199,926,52,24,"Shot","Miss","",NA,"mars",22.1359436211787,1.24904577239825,71.565051177078,6,0,0,3,3,95.8514435084304
"131",1336,"4th Quarter",201,967,28,18,"Shot","Score","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,1,2,1,9,9.2,13.6014705087354
"132",1355,"4th Quarter",203,998,29,15,"Shot","Score","",NA,"mars",2.82842712474619,0.785398163397448,45,16,2,1,10,10.2,175.723036525552
"133",1371,"4th Quarter",205,1050,15,30,"Shot","Score","",NA,"mars",20.6155281280883,-0.888479771920149,-50.9061411137705,10,2,1,6,6.2,121.223336276952
"134",1386,"4th Quarter",207,1102,41,22,"Shot","Miss","Score",NA,"mars",11.1803398874989,1.10714871779409,63.434948822922,8,0,1,5,5,115.06456614069
"135",11,"1st Quarter",2,21,11,27,"Shot","Miss","",NA,"mars",22.3606797749979,-1.10714871779409,-63.434948822922,11,0,0,6,6,104.730524966913
"136",18,"1st Quarter",3,45,28,18,"Shot","Score","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,5,2,1,9,9.2,89.1642402887174
"137",33,"1st Quarter",4,91,33,17,"Shot","Miss","",NA,"mars",2,1.5707963267949,90,16,0,0,9,9,150.012796378911
"138",48,"1st Quarter",6,162,53,19,"Shot","Miss","",NA,"mars",22.0907220343745,1.48013643959415,84.8055710922652,2,0,0,3,3,17.2046505340853
"139",57,"1st Quarter",8,195,28,19,"Shot","Score","",NA,"mars",3.60555127546399,-0.982793723247329,-56.3099324740202,1,2,1,9,9.2,17.0293863659264
"140",62,"1st Quarter",9,218,33,17,"Shot","Score","",NA,"mars",2,1.5707963267949,90,3,2,1,9,9.2,64.7633841066204
"141",77,"1st Quarter",11,261,9,24,"Shot","Miss","",NA,"mars",23.0867927612304,-1.26274354577112,-72.3498757800699,5,0,0,4,4,72.2161475138057
"142",95,"1st Quarter",13,345,35,17,"Shot","Miss","",NA,"mars",4,1.5707963267949,90,8,0,0,9,9,73.0091456374692
"143",106,"1st Quarter",14,365,34,32,"Shot","Score","",NA,"mars",15.2970585407784,0.197395559849881,11.3099324740202,8,2,1,11,11.2,109.655887869114
"144",116,"1st Quarter",15,419,20,17,"Shot","Miss","",NA,"mars",11,-1.5707963267949,-90,10,0,0,4,4,117.6579194869
"145",127,"1st Quarter",16,442,29,17,"Shot","Miss","",NA,"mars",2,-1.5707963267949,-90,11,0,0,9,9,99.9699210744094
"146",129,"1st Quarter",17,446,34,17,"Shot","Score","",NA,"mars",3,1.5707963267949,90,2,2,1,9,9.2,2.23606797749979
"147",172,"1st Quarter",20,545,26,35,"Shot","Score","",NA,"mars",18.6815416922694,-0.270946850338421,-15.5241109967543,8,2,1,11,11.2,88.0987834850265
"148",191,"1st Quarter",21,618,20,35,"Shot","Miss","",NA,"mars",21.095023109729,-0.548549402450528,-31.4295656148385,18,0,0,6,6,130.865435675906
"149",203,"1st Quarter",22,645,40,33,"Shot","Miss","",NA,"mars",18.3575597506858,0.512389460310738,29.3577535427913,10,0,0,11,11,103.449402177618
"150",215,"1st Quarter",23,673,39,19,"Shot","Miss","",NA,"mars",8.24621125123532,1.32581766366803,75.9637565320735,10,0,0,10,10,147.078758053818
"151",232,"1st Quarter",24,843,37,25,"Shot","Score","",NA,"mars",10,0.643501108793284,36.869897645844,17,2,1,10,10.2,131.901308855084
"152",249,"1st Quarter",25,920,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,19,0,0,9,9,127.713978941737
"153",278,"2nd Quarter",27,23,51,25,"Shot","Miss","",NA,"mars",21.540659228538,1.19028994968253,68.1985905136482,5,0,0,3,3,88.3612611184808
"154",292,"2nd Quarter",28,79,39,33,"Shot","Score","",NA,"mars",17.8885438199983,0.463647609000806,26.565051177078,12,2,1,11,11.2,114.927933750099
"155",314,"2nd Quarter",30,191,41,39,"Shot","Score","",NA,"mars",24.1660919471891,0.426627493126876,24.4439547804165,9,2,1,11,11.2,103.03803612852
"156",333,"2nd Quarter",31,233,30,18,"Shot","Score","",NA,"mars",1.4142135623731,-0.785398163397448,-45,21,2,1,9,9.2,178.602841513119
"157",340,"2nd Quarter",32,312,34,32,"Shot","Miss","",NA,"mars",15.2970585407784,0.197395559849881,11.3099324740202,5,0,0,11,11,75.2001661252538
"158",352,"2nd Quarter",33,324,26,25,"Shot","Score","",NA,"mars",9.4339811320566,-0.558599315343562,-32.0053832080835,11,2,1,10,10.2,88.1183695409284
